ts,source,symbol,side,rsi_value,change_24h,oracle_type,btc_bias,entry_price,f_strength,f_chase,f_regime,confirm_would_fire,confluence_count,decision,repeat_n,outcome,ret_pct,r_mult,mfe_pct,mae_pct,hours,confirm_fired,confirm_outcome,confirm_r
2026-06-06T05:26:11.311262-05:00,rsi_extreme,ALLO-USDT,sell,90.3,95.24,,bear,0.3697,True,False,True,,,enter,1,tp_then_be,2.5,0.5,6.63,2.359,0.2,yes,tp_then_be,0.5
2026-06-06T05:35:50.699091-05:00,rsi_extreme,BLUAI-USDT,sell,90.4,57.58,,bear,0.0200,True,False,True,,,enter,1,tp_then_be,2.5,0.5,7.255,1.63,0.8,yes,tp_then_be,0.5
2026-06-06T07:31:32.222865-05:00,rsi_extreme,ALLO-USDT,sell,91.1,101.57,,bull,0.3911,True,False,False,,,enter,2,loss_sl,-5.0,-1.0,3.925,7.98,0.4,yes,loss_sl,-1.0
2026-06-06T11:06:43.020847-05:00,rsi_extreme,ALLO-USDT,sell,90.1,137.98,,bull,0.4517,True,False,False,,,enter,3,tp_then_be,2.5,0.5,6.67,2.429,0.8,yes,tp_then_be,0.5
2026-06-06T13:06:49.613903-05:00,rsi_extreme,ALLO-USDT,sell,90.0,123.24,,bull,0.4543,True,False,False,,,enter,4,loss_sl,-5.0,-1.0,4.55,5.518,2.8,yes,loss_sl,-1.0
2026-06-06T13:36:28.303713-05:00,rsi_extreme,SKYAI1-USDT,sell,90.1,76.74,,bull,0.3261,True,False,False,,,enter,1,tp_then_be,2.5,0.5,7.728,3.925,0.2,yes,tp_then_be,0.5
2026-06-06T15:36:17.040884-05:00,rsi_extreme,SKYAI1-USDT,sell,91.8,86.13,,,0.3516,True,False,,,,enter,2,win_full,7.5,1.5,10.41,4.283,0.7,yes,tp_then_be,0.5
2026-06-06T19:45:34.319733-05:00,rsi_extreme,BLESS-USDT,sell,92.4,66.13,,,0.007102,True,False,,,,enter,1,win_full,7.5,1.5,14.024,1.408,0.1,yes,win_full,1.5
2026-06-07T04:01:00.217849-05:00,oraclealgo,BTC-USDT,buy,,,,,62752.6,,,,,1,no_bias,1,loss_sl,-1.5,-1.0,0.245,1.716,3.5,,,
2026-06-07T11:45:23.789640-05:00,rsi_extreme,VELVET-USDT,sell,90.4,47.41,,,0.2757,True,False,,,,enter,1,win_full,7.5,1.5,10.711,0.0,0.1,yes,win_full,1.5
2026-06-07T12:41:22.858131-05:00,oraclealgo,BTC-USDT,sell,,,,,62205.4,,,,,1,no_bias,2,loss_sl,-1.5,-1.0,1.653,2.462,4.5,,,
2026-06-07T15:00:59.807511-05:00,oraclealgo,BTC-USDT,sell,,,MSS,,61199.6,,,,,1,no_bias,3,loss_sl,-1.5,-1.0,0.0,4.146,2.2,,,
2026-06-07T18:00:54.280804-05:00,oraclealgo,BTC-USDT,buy,,,MSS,,62929.0,,,,,1,no_bias,4,tp_then_be,1.0,0.667,2.04,0.839,25.3,,,
2026-06-08T06:04:14.003558-05:00,rsi_extreme,MOVE-USDT,sell,91.1,37.79,,,0.0163,True,False,,,,enter,1,win_full,7.5,1.5,10.736,3.558,1.3,yes,tp_then_be,0.5
2026-06-08T12:10:11.563692-05:00,rsi_extreme,VELVET-USDT,sell,90.2,53.48,,,0.3939,True,False,,,,enter,1,win_full,7.5,1.5,11.907,0.856,0.2,yes,win_full,1.5
2026-06-08T21:19:10.207959-05:00,rsi_extreme,SAHARA-USDT,buy,14.9,-47.41,,,0.0202,True,False,,,,enter,1,loss_sl,-5.0,-1.0,70.545,11.04,0.0,yes,loss_sl,-1.0
2026-06-08T23:20:49.151423-05:00,rsi_extreme,SAHARA-USDT,buy,11.8,-60.15,,,0.0152,True,False,,,,enter,2,loss_sl,-5.0,-1.0,0.066,6.053,0.2,no,,
2026-06-09T01:20:17.565014-05:00,rsi_extreme,SAHARA-USDT,buy,14.9,-56.07,,,0.0161,True,False,,,,enter,3,win_full,7.5,1.5,12.919,1.863,3.4,yes,win_full,1.5
2026-06-09T09:00:51.403133-05:00,oraclealgo,BTC-USDT,sell,,,MSS,,62305.0,,,,,1,no_bias,1,tp_then_be,1.0,0.667,2.521,0.138,23.7,,,
2026-06-09T10:01:25.958954-05:00,oraclealgo,BTC-USDT,sell,,,,,61371.1,,,,,1,no_bias,2,loss_sl,-1.5,-1.0,1.038,1.635,22.7,,,
2026-06-10T07:10:50.020188-05:00,rsi_extreme,HMSTR-USDT,sell,90.2,30.42,,,0.000224,True,False,,,,enter,1,tp_then_be,2.5,0.5,6.25,3.259,0.7,yes,tp_then_be,0.5
2026-06-10T09:21:25.971958-05:00,rsi_extreme,HMSTR-USDT,sell,90.5,38.47,,,0.000241,True,False,,,,enter,2,loss_sl,-5.0,-1.0,1.162,5.934,0.2,yes,loss_sl,-1.0
2026-06-10T11:01:30.811115-05:00,oraclealgo,BTC-USDT,buy,,,,bull,62522.6,,,,,1,enter,1,loss_sl,-1.5,-1.0,0.198,1.622,5.2,,,
2026-06-10T11:20:37.467427-05:00,rsi_extreme,HMSTR-USDT,sell,94.5,44.5,,bull,0.000253,True,False,False,,,enter,3,loss_sl,-5.0,-1.0,0.0,5.059,0.6,no,,
2026-06-10T21:10:28.695462-05:00,rsi_extreme,AIO-USDT,sell,91.7,86.69,,,0.2022,True,False,,,,enter,1,loss_sl,-5.0,-1.0,2.418,5.104,0.2,yes,loss_sl,-1.0
